CompanyName,CompanyRevenue,EmployeeHeadCount,CompanyIndustry,CompanySpecialties,CompanyType,Country,City,Timezone
CenterPoint Energy,7600,7800,Utilities,"Energy delivery, Natural Gas Distribution, Electric Transmission & Distribution, Home Services, Safety, Integrity, Accountability, Initiative, Respect, Electric Grid Reliability, Electric Grid Resiliency , Net Zero by 2035, Enabling growth for our customers and the communities we share.",Public Company,United States,Houston,EST
Ceridian,900,4200,Computer Software,"Onboarding, Payroll, Performance Management, Time & Attendance, Benefits, Document Management, Workforce Management, Dashboards, Recruiting, Learning, Succession Planning, On-Demand Pay",Public Company,United States,Minneapolis,EST
CertainTeed,3000,6000,Wholesale Building Materials,"Manufacturer, Building Materials, Roofing, Siding, Insulation, Drywall, Ceilings",Privately Held,United States,Malvern,EST
Chargebee,124,1110,Financial Services,"Recurring Billing, Subscription Management, Payment Gateway Integration, Invoicing, Automated transactional emails, Taxes, Accounting, Revenue Recognition, SaaS Metrics, Pricing Iteration",Privately Held,United States,San Francisco,EST
"Chart Industries, Inc.",1400,4600,Industrial Machinery Manufacturing,"Cryogenic Storage Systems, Engineering / Manufacturing, Liquefied Natural Gas Storage, Heat Exchangers, Industrial Gas Storage, Hydrogen Energy, Water & Wastewater Treatment, Laser Cutting, Aerospace Systems, Beverage Carbonation, Nitro Beverage Dosing",Public Company,United States,Ball Ground,EST
Checkers & Rally’s Drive-In Restaurants,850,5800,Restaurants,"Fries, Burgers, Fast Food, QSR",Privately Held,United States,Tampa,EST
"Cheney Brothers, Inc.",2500,3500,Food and Beverage Services,"Food & Beverage Service & Distribution, Hospitality, Foodservice",Privately Held,United States,Riviera Beach,EST
Chesapeake Energy,9800,2200,Oil & Energy,"Oil, Natural Gas Liquids, Natural Gas, Exploration, Drilling, Shale, Oil",Public Company,United States,Oklahoma City,EST
Chevron Phillips Chemical Company,13000,5000,Chemical Manufacturing,Chemical commodities,Privately Held,United States,Spring,EST
Chobani,1700,2300,Food and Beverage Services,,Privately Held,United States,New Berlin,EST
Cigniti Technologies,300,2200,Information Technology & Services,"Software Testing, Quality Assurance, Quality Engineering, Advisory & Transformation, Security Testing, DevOps QA, Test Automation, Digital Transformation services, ERP Testing, Application Testing, RPA, Digital Assurance, Digital Engineering, 5G Assurance, Cloud Migration Assurance, Performance Engineering, Static Application Security Testing, Blockchain, Analytics, Machine learning",Public Company,United States,Irving,EST
Coca-Cola Beverages Florida,1200,4500,Food and Beverage Services,Beverages,Public Company,United States,Tampa,EST
Coca-Cola Southwest Beverages,3300,8000,Food and Beverage Services,,Public Company,United States,Dallas,EST
Comcast Business,14000,91000,Telecommunications,"Business Phone, Broadband Internet, Ethernet Data Service, Business TV",Public Company,United States,Philadelphia,EST
Commercial Bank,3400,4500,Banking,"Personal Banking, Private Banking, Wholesale Banking",Public Company,Qatar,Doha,Asia/Qatar
Commercial Metals Company,5800,8600,Construction,"Metals, Recycling, Fabrication, Distribution",Public Company,United States,Irving,EST
Compass Group USA,19000,240000,Food & Beverages,"foodservice management, food, support services, business & industry, hospitality, sports & entertainment, healthcare, education, catering",Public Company,United States,Charlotte,EST
Consumers Energy,6100,8500,Utilities,"Electric, Natural Gas, Energy/Utilities, Safety, Reliability",Public Company,United States,Jackson,EST
Contech Engineered Solutions,900,2200,Construction,"Bridges and Structures, Rehabilitation and Reline, Stormwater Management, Pipe, Erosion control, Retaining Walls",Privately Held,United States,West Chester,EST
Continuum Global Solutions,400,6500,Outsourcing and Offshoring Consulting,"telecom, call center, contact center, voice, ivr",Privately Held,United States,Dallas,EST
ContourGlobal,2200,2200,Renewable Energy Semiconductor Manufacturing,"Energy, Development, Construction, Operation",Privately Held,United States,New York,EST
Corsair,1460,1800,Computer Hardware,"Gaming Systems, Consumer Electronics, Gaming Peripherals, Computer Hardware, PC Peripherals",Public Company,United States,Milpitas,EST
Covetrus,4000,5600,Non-profit Organization Management,,Privately Held,United States,Portland,EST
Crescent Electric Supply Company,1500,2200,Wholesale,"Electrical Construction Materials, Residential, Commercial and Industrial, Energy, DataComm, Project Quotations and Management, Power Distribution Equipment, LED Lighting",Privately Held,United States,East Dubuque,EST
Crocs,2100,3800,Consumer Goods,,Public Company,United States,Broomfield,EST
Crop Production Services,3200,10000,Retail,"Crop Protection Products, Adjuvants and surfactants, Fertilizer and Plant Nutritional Products, Dyna-Gro Seed",Public Company,United States,Loveland,EST
Crown Equipment Corporation,3200,15000,Truck Transportation,"Forklifts, Lift Trucks, Material Handling, Supply Chain, Logistics, Manufacturing, Warehousing, Fleet Management",Privately Held,United States,New Bremen,EST
"Crown Holdings, Inc.",11000,33000,Packaging and Containers Manufacturing,"Metal Packaging, Beverage Cans, Food Cans, Speciality Cans, Aerosol Cans, Metal Closures, transit packaging, promotional Packaging, Very sensitive product packaging, sustainable packaging",Public Company,United States,Yardley,EST
Crown Lift Trucks,2300,1500,Truck Transportation,"Forklifts, Lift Trucks, Material Handling, Supply Chain, Manufacturing, Warehouse Products, Fleet Management, Racking & Shelving",Privately Held,United States,New Bremen,EST
CyberArk,430,2000,Computer Software,"Privileged Account Security, Advanced Threat Protection, Insider Threat Protection, Privileged Identity Management, Privileged Session Management, SSH Key Management, Highly Sensitive Information Management, Information Security Software, DevOps Security, DevSecOps, Cloud Security, Identity Security, Privileged Access Management",Public Company,United States,Newton,EST
Cypress Semiconductor Corporation,2400,5400,Semiconductor Manufacturing,,Public Company,United States,San Jose,EST
Cytel,200,1400,Pharmaceutical Manufacturing,"Adaptive Clinical Trials, Clinical Research Services, Trial Design and Analysis Software, Statistical Programming, Strategic Consulting, DMC Support, Program and Portfolio Optimization, Clinical Data Management, CV Outcomes Studies, Regulatory Submissions, Real World Analytics, HEOR, Bayesian Clinical Trials, FSP, Project Based Services, Advanced Analytics ",Privately Held,United States,Waltham,EST
"DH Pace Company, Inc.",1200,2900,Building Materials,"Industrial, High Speed, & Specialty Doors, Loading Dock Equipment, Entry Doors & Automatic Doors, Electronic Security & Gate Systems, Residential Garage Doors & Operators, Preventive Maintenance Programs, Inspection & Testing Services, Doors, Docks, Commercial Sectional, Coiling and Sliding Doors",Privately Held,United States,Olathe,EST
DRiV Incorporated,6000,31000,Automotive,"Replacement parts, Aftermarket",Public Company,United States,Northville,EST
DTE Energy,10100,12000,Utilities,"Gas Distribution and Storage, Continuous Improvement, Unconventional Gas, Nuclear Generation, Merchant Operations, Biomass Generation, Six Sigma Blackbelt, Fossil or Coal Generation, Power Generation, Energy Trading, Mid-Stream Gas, Electric Utilities, Gas Utilities",Public Company,United States,Detroit,EST
"Daiichi Sankyo, Inc.",8000,15000,Pharmaceuticals,"Daiichi Sankyo, Inc. is a member of the Daiichi Sankyo group of companies and is focused on the development of oncology therapies and specialty medicines., Oncology, Specialty Medicine",Public Company,United States,Basking Ridge,EST
Daktronics,500,2300,Manufacturing,"Large Screen LED Video Systems, LED Message Displays, LED Digital Billboards, Scoreboards & Timing Systems, Out of Home Advertising, Digital Signage, Dynamic Message Signs, Architectural Lighting, Intelligent Transporation Systems, Mobile and Modular LED Systems",Public Company,United States,Brookings,EST
Dar Al Shifa Hospital,400,2100,Hospital & Health Care,"Healthcare -, Anesthesia & Intensive care, Cardiology, Dermatology & Cosmetics, Ear, Nose & Throat (ENT), Obstetrics & Gynecology, Reproductive Medicine, Pediatrics, Plastic surgery, Urology & Male Reproduction, Ophthalmology, Pain Management",Privately Held,Kuwait,"Hawalli,",AST
Dawlance,700,2200,Manufacturing,,Privately Held,Pakistan,Karachi,Asia/Karachi
Dawn Foods Global,1300,3500,Food Production,"Bakery Ingredients/ Products/ Service, Bakery Product Distribution, Bakery Product Manufacturing, Supermarket / In-store Bakeries, Artisanal Bakeries, Foodservice, Bakery Manufacturers",Privately Held,United States,Jackson,EST
Day & Zimmermann,2800,23000,Construction,"Construction, Engineering, Staffing, Security, Defense, Operations & Maintenance",Privately Held,United States,Philadelphia,EST
Dealertrack,1200,5000,Software Development,"Automotive, Technology, Lender Solutions, Dealer Solutions, F&I, Registration and Title, Titling, eContracting, Digital Contracting, Compliance, Remote Signing",Privately Held,United States,North Hills,EST
"Delek US Holdings, Inc.",9000,1300,Oil and Gas,"Petroleum Refining, Wholesale Gas Marketing & Supply, Pipeline, energy, retail, oil & gas, downstream energy, logistics, asphalt, midstream energy, crude oil, refining, petroleum, renewable fuels, convenience stores",Public Company,United States,Brentwood,EST
Dentsply Sirona,3900,15000,Medical Equipment Manufacturing,"Preventive, Restorative, Orthodontics, Prosthetics, Endodontics, Implants, Healthcare, Imaging, Instruments, CAD/CAM",Public Company,United States,Charlotte,EST
Devon Energy,5700,1400,Oil and Gas,"Oil, Natural Gas, Natural Gas Liquids, Energy, Exploration, Production, Data Science, Technology, Health & Safety, Geology, Geophysics, Engineering, Petroleum Engineering, Accounting, Finance, Geoscience, IT, Project Management, Reservoir Engineering, Analytics, Accounting, Intelligent Automation, Artificial Intelligence, Robotic Process Automation",Public Company,United States,Oklahoma City,EST
Discount Tire,5200,26620,Automotive,"Automotive Tires, Automotive Wheels",Privately Held,United States,Scottsdale,EST
Ditch Witch,900,1500,Machinery,"Directional Drills, Trenchers, Vacuum Excavation, HDD Tooling, Mini Skid Steers",Public Company,United States,Perry,EST
Dolby Laboratories,1200,2000,Computers and Electronics Manufacturing,"Audio, Video, Entertainment, Internet, Broadcast, Cinema, PC, Software, Hardware, Mobile, Voice, 3D, Film",Public Company,United States,San Francisco,EST
Dolphin Energy,1900,1000,Oil & Energy,,Privately Held,United Arab Emirates,Abu Dhabi,GST
Donnelley Financial Solutions (DFIN),1000,2400,Financial Services,"SEC Regulation, Government Reporting, Risk & Compliance, Digital Software, SaaS, Cybersecurity, Technology, Fintech, Financial Solutions, IPO, M&A, Proxy, Global Filings, GDPR, ESG, Capital Markets, Investment Markets, E-Delivery, Blockchain, Data Management",Public Company,United States,Chicago,EST
Dorman Products,1500,3100,Motor Vehicle Manufacturing,"Direct-replacement automotive and heavy duty parts, Re-engineered parts designed to eliminate original failure modes, Supply Chain, Distribution, Manufacturing",Public Company,United States,Colmar,EST
Dover Corporation,6900,24000,Machinery Manufacturing,"Fluids, Engineered Systems, Refrigeration & Food Equipment",Public Company,United States,Downers Grove,EST
Dragon Oil,1200,1800,Oil and Gas,"oil and gas exploration, development and production, Energy, Petroleum, People, HSE, sustanability",Public Company,United Arab Emirates,Dubai,GST
Drake University,400,1200,Higher Education,Higher education,Educational Institution,United States,Des Moines,EST
Drury Hotels,1200,1500,Hospitality,"Careers, Meetings, Events, Groups, Tours, Business Travel, Legacy, Hospitality, Customer Service, Family Owned, Hotel, Quality, Service, Profitability, Teamwork, Culture, Travel, Awards, Rewards, Loyalty, resort",Privately Held,United States,St Louis,EST
Duquesne Light Company,900,1400,Utilities,"Providing a safe, reliable and affordable supply of energy and tools to homes, businesses and communities. Duquesne Light puts more information in the hands of our customers, allowing them to make more informed decisions about their energy consumption.",Privately Held,United States,Pittsburgh,EST
Dynatrace,800,2800,Software Development,"APM, DevOps, Full Stack, SaaS, Artificial Intelligence, Enterprise Cloud, Observability",Public Company,United States,Waltham,EST
E. & J. Gallo Winery,5000,6400,Beverage Manufacturing,,Privately Held,United States,Modesto,EST
EIS,700,1400,Wholesale,,Public Company,United States,Atlanta,EST
EMC,29000,40000,IT Services and IT Consulting,,,United States,Hopkinton,EST
EMD Electronics,2300,1200,Chemical Manufacturing,"Electronics, Technology & Science, Chemicals, Semiconductors, Liquid Crystals, OLEDs, Cosmetics, Pigments & Coatings, Specialty Gases, Material Handling, Safety, Metal Film Precursors, Ultra-Thin Dielectric Precursors, Formulated Cleans, Etching Products, Doping, Chemical Mechanical Planarization (CMP), Deposition, Planarization, R&D, Conductive Pastes , Semiconductor Packaging, Displays",Public Company,United States,Tempe,EST
"EMD Serono, Inc.",1500,1600,Biotechnology,metabolic endocrinology,Privately Held,United States,Rockland,EST
EMKE Group,2500,32000,Retail,,Privately Held,United Arab Emirates,Abu Dhabi,GST
ENOC,15000,5700,Oil & Energy,"Gas, Oil, Retail, Terminals, Jet Fuel, Exploration and Production, Supply Trading and Processing",Government Agency,United Arab Emirates,Dubai,GST
EPAM Anywhere,2200,18000,IT Services and IT Consulting,"Software & Platform Engineering, Agility, Product Development, IoT, Next-Gen Architecture, Application & Cloud Management, Big Data & Analytics, Consulting Services, Digital Engagement, Mobility, Strategy & Experience",Public Company,United States,Newtown,EST
ESI an MKS Brand,500,2200,Machinery Manufacturing,"Laser-based manufacturing solutions, component test & inspection, interconnect solutions, microfabrication, PCB Drilling",Public Company,United States,Portland,EST
EY-Parthenon,1200,3500,Business Consulting and Services,,Privately Held,United States,Boston,EST
East Carolina University,900,4800,Higher Education,"Arts and Sciences, Business, Education, Fine Arts and Communication, Art and Design, Music, Theater and Dance, Communication, Health and Human Performance, Human Ecology, Computer Science, Nursing, Medicine, Dental Medicine, Athletics",Educational,United States,Greenville,EST
Eastman Kodak Company,1100,5000,Manufacturing,"Motion Picture Film, Commercial Printing, Chemical Manufacturing, Industrial Coating",Public Company,United States,Rochester,EST
Ebix,580,2000,Computer Software,"Agency/Broker Systems, Insurance Carrier Systems, Insurance Certificate Management (Certificate Tracking and Issuance), Life and Annuity, Risk Management, Custom Software Development, Contact Center Services, CRM, Remittance, Financial Technology, FOREX, Travel Exchanges, E-Learning",Public Company,United States,Johns Creek,EST
Edgewell Personal Care,2100,6000,Manufacturing,"Shaving, Sun Care, Feminine Care, Infant Care, Skin Care, Grooming, Men's Skincare, Shave Prep, Personal Care",Public Company,United States,Shelton,EST
Eisai US,800,5000,Pharmaceutical Manufacturing,"Neurology, Gastroenterology, Alzheimer's disease, Oncology, Epilepsy, Insomnia, Metastatic breast cancer, renal cell carcinoma, hepatocellular carcinoma, dementia, endometrial cancer",Public Company,United States,Nutley,EST
Elbit Systems of America,3500,3000,Defense and Space Manufacturing,"Defense Electronics, Homeland Security, Commercial Aviation, Medical Instrumentation, Unmanned Aircraft Systems",Public Company,United States,Fort Worth,EST
Ellucian,780,1600,Higher Education,"Higher Education Software & Services, Student Information System, Higher Education ERP, Mobile Campus, Recruitment & Enrollment Management Software, Student Retention, Cloud Services, Talent management system, Document Management Software, Workflow Software, Digital Transformation, SaaS",Privately Held,United States,Reston,EST
Elm Company,500,800,Information Technology & Services,"Secure e-Services, IT Services and Solutions, Government Process Optimization Outsourcing GPOO, Training Solutions and Consultations",Privately Held,Saudi Arabia,Riyadh,AST
EmCare,2200,13000,Hospitals and Health Care,"emergency physician services, solutions for hospitals, inpatient physician services, inpatient radiology management programs, anesthesiology services, acute care surgery",Public Company,United States,Dallas,EST
Emaar,8000,20000,Real Estate,"Lifestyle Development, Hospitality, Malls, Commercial Leasing, Entertainment, Property Development",Public Company,United Arab Emirates,Dubai,GST
Emergent BioSolutions,1500,2200,Biotechnology,"Manufacturing, Partnering, M&A, Devices Development, Vaccine Development, Therapeutics Development, Contract Development and Manufacturing",Public Company,United States,Gaithersburg,EST
Emirates Global Aluminium (EGA​),4000,7000,Manufacturing,Primary aluminium production and investments in bauxite mining and alumina refining projects,Privately Held,United Arab Emirates,Dubai,GST
EnerSys,2400,9000,"Appliances, Electrical, and Electronics Manufacturing","stored energy solutions, battery and back up power, energy systems, chargers and power electronics, aerospace and defence, industrial UPS, telecom, broadband and wireless, material handling, transportation, rail, data center, 5g, material handling, renewable energy, utilities",Public Company,United States,Reading,EST
EnergySolutions,800,2500,Environmental Services,"Nuclear Waste Treatment, Processing, Decommissioning, Remediation, Nuclear Fuel Management, Engineering, Nuclear Technology, Transportation/Logistics, Nuclear Disposal",Privately Held,United States,Salt Lake City,EST
Englewood Hospital,1100,3400,Hospital & Health Care,,Nonprofit,United States,Englewood,EST
Engro Corp,3400,3200,Chemical Manufacturing,"food & agriculture, petrochemicals, energy & related infrastructure, telecommunication infrastructure",Public Company,Pakistan,Karachi,PKT
Entegris,1500,5200,Semiconductor Manufacturing,"Efficiency. Materials. Interfacial Science. Microelectronics., Specialty Chemicals, Advanced Materials, Microelectronics, Life Sciences, Semiconductor Manufacturing, Gas Purification & Filtration, Microcontamination, Chemical Manufacturing, Advanced Coatings, 3D NAND, Advanced Lithography, EUV Lithography, Clean Chemical Delivery, Automotive Reliability, Bioprocessing, Contamination Control, Fluid Management, Substrate Handling",Public Company,United States,Billerica,EST
Envision Healthcare,7000,46000,Hospital & Health Care,"emergency medical services, solutions for hospitals, physician services, ambulance services, Post-acute care services",Privately Held,United States,Nashville,EST
Epson America Inc.,3100,13000,Computers and Electronics Manufacturing,,Privately Held,United States,Los Alamitos,EST
Erie Insurance Group,6500,5400,Insurance,"Auto Insurance, Home Insurance, Business Insurance, Life Insurance",Public Company,United States,Erie,EST
Esprit,600,2300,Retail Apparel and Fashion,"Fashion, Lifestyle, Design, Accessories, Trends, Mode, Bekleidung, Textil, Einzelhandel, Wholesale, Retail, Licensing, Omnichannel",Public Company,United States,New York,EST
Evertec,500,2300,IT Services and IT Consulting,"Financial Item Processing, Systems Development and Maintenance, Technology, merchant acquiring, payment processing, business solutions",Public Company,United States,San Juan,EST
Evoke Technologies,300,400,Information Technology & Services,"Bonita BPM, Cloud Infra & Application, Java Services, Microsoft Solutions, Mobile App Development, Pega, RPA, ServiceNow, UI/UX Design, Big Data Analytics, BI & Data Warehousing, Data Science & AI, Microsoft Dynamics, Oracle E-Business Suite, Oracle ERP Cloud, Oracle CX, Salesforce, Core Testing, Security Assessment, Data Assurance, Digital Testing, Test Consulting, and Testing Specialized, SAP, ServiceNow, Mendix, Pega, OutSystems, Dynamics 365",Privately Held,United States,Dayton,EST
Evoqua Water Technologies,1200,4000,Environmental Services,,Public Company,United States,Pittsburgh,EST
Expro,2200,4500,Oil and Gas,"Drill Stem Testing, Fluids, Meters, Pipeline & Flarestack, PowerChokes, Production, SafeWells, Subsea, Tubing Conveyed Perforating, Well Intervention, Well Testing, Wireless Well Solutions, Well Integrity , CoilHose, Annulus Intervention ",Privately Held,United States,Houston,EST
FFF Enterprises,500,1200,Pharmaceuticals,"MyFluVaccine, BioSupply, Immune Globulin, Albumin, Coagulation Factor, Adult Vaccines, Pediatric Vaccines, Influenza Vaccines, Pharmaceuticals, Controlled Substances, Hyperimmune Globulins, Plasma, Vaccines",Privately Held,United States,Temecula,EST
FMC Technologies,5000,17000,Oil and Gas,"Oil and gas production and processing systems, Surface wellhead, Subsea, Fluid control, Completion services, Loading systems, ROV, Well Intervention, Measurement Systems, High Pressure High Temperature",Public Company,United States,Houston,EST
Farm Credit Mid-America,800,1200,Financial Services,"Country Home Loans, Crop Insurance, Loans, Leases",Privately Held,United States,Jeffersontown,EST
Farm Credit Services of America,2200,1500,Financial Services,"Farm Credit, Farm Finance, Crop insurance, Technology, Mortgages, Agriculture, Innovation, lending, Credit, banking",Privately Held,United States,Omaha,EST
Federal-Mogul Motorparts,7000,55000,Motor Vehicle Manufacturing,"Aftermarket Automotive Parts, Original Equipment Automotive Parts, Branding, Marketing, Advertising, Design, Engineering, Manufacturing, Supply Chain Management, Automotive Service Technician Training",Privately Held,United States,Southfield,EST
Federal-Mogul Powertrain,7200,55000,Motor Vehicle Manufacturing,"Power Cylinder Components, Thermal and Abrasion Protective Sleeves, Valvetrain Components, Engine Bearings, Engine Seals and Gaskets, Vehicle and Industrial Ignition",Privately Held,United States,Northville,EST
Ferrara,2800,4500,Consumer Goods,"Confectionery Manufacturing, Co-Manufacturing, Private Label, Food Manufacturing",Privately Held,United States,Chicago,EST
Fidelis Care,2400,4000,Hospitals and Health Care,"Medicaid Managed Care, NY State of Health Metal-Level Products, Medicare Advantage, Child Health Plus, Managed Long Term Care, Medicaid Advantage Plus",Public Company,United States,Rego Park,EST
First United Bank,500,2200,Financial Services,"Personal Banking, Personal Loans, Business Banking, Auto Loans, Mortgage Lending, Home Equity Loans, Wealth Management, Lines of Credit, Credit Cards, Certificates of Deposit, Personal Insurance, Business Insurance, Builder Financing, SBA Loans, Agriculture Loans",Privately Held,United States,Durant,EST
FirstEnergy,14000,12000,Utilities,"Energy, Electricity",Public Company,United States,Akron,EST
Fitch Ratings,1400,3500,Financial Services,credit ratings,Privately Held,United States,New York,EST
FlightSafety International,800,4200,Airlines and Aviation,"Commercial & Military Aviation Simulation, Visual Systems, Business & Regional Pilot Training, Aviation Maintenance Training, Corporate & Commercial Flight Attendant Training, FAA Dispatch Training, Corporate Scheduler Training",Privately Held,United States,Columbus,EST
Flowers Foods & Subsidiaries,4000,9200,Food Production,"Bakery, DSD, Warehouse Delivery, Product Innovation, Technology",Public Company,United States,Thomasville,EST
Foundation Building Materials,2200,3100,Wholesale Building Materials,"Building Materials, Drywall, Steel Studs, Acoustical Ceilings, Insulation, Tools and Fasteners, Stucco, Lath and Plaster, Insulation, Wallboard, Fiberglass Reinforced Plastic, Exterior Insulation and Finish System, Logistics, Delivery, Building Materials, Construction, Building Supply",Public Company,United States,Santa Ana,EST
"Franciscan Alliance, Inc.",4200,18000,Hospitals and Health Care,"Health care, Heart, Cancer, Women and Children, Weightloss, Orthopedics, Rehab Services, Joint and Knee Replacement",Nonprofit,United States,Mishawaka,EST
Franciscan Health,3200,18000,Hospitals and Health Care,"hospital, physician offices, cardiology, vascular care, cancer treatment, orthopedics, labor and delivery, neurosurgery, healthcare, primary care, neurology, imaging, lab",Nonprofit,United States,Mishawaka,EST
Franciscan St. Francis Health,900,2300,Hospitals and Health Care,"health care, hospital, physicians, cardiac care, joint replacement, oncology, maternity, bariatric surgery, imaging, orthopedics",Nonprofit,United States,Indianapolis,EST
Freeman Company,320,1500,Events Services,"Audio Visual Solutions, Experiential Design, Exhibit Fabrication and Management, Exhibitor Services, Digital Services, Creative, Corporate Events, Meeting Planning, Event Specialists, Professional Services, Event Solutions, Event Marketing, Meetings and Events, Creative Agency",Privately Held,United States,Dallas,EST
Fuchs Lubricants Co.,500,1400,Chemical Manufacturing,"industrial lubricants, greases, cutting fluids, metalworking fluids, coolants, mining, specialty lubricants, automotive, lubricating greases, Services, wind power, forging, Gear lubrication, construction, Cement, Sugar, metal processing, Food and Beverage, Rail, E-mobility",Public Company,United States,Harvey,EST
Fujitsu Network Communications,1100,2000,Telecommunications,"Communications Network Solutions, Telecommunications, Network Services",Public Company,United States,Richardson,EST
Fusion BPO Services,200,3000,Outsourcing/Offshoring,"Customer Services, Collection Services, Chat Support, Email Support, Back Office",Privately Held,United States,Canton,EST
Fusion CX,500,3000,Outsourcing and Offshoring Consulting,"BPM Solutions, CX Management, Artificial Intelligence, Cognitive Automation, Digital Transformation, Social Analytics, Quality Assurance, Business Process Management, Data Annotation Services, Call Center, Business Process Outsourcing, Debt Collection Services, Tech Support, App Support Call Center, ECommerce Support, Industry specific BPO Services, BPO Services",Privately Held,United States,Canton,EST
GE Hitachi Nuclear Energy,2900,2200,Utilities,,Public Company,United States,Wilmington,EST
GMG,600,1400,Retail,"Sports, EverydayGoods, Health, Beauty, Logistics, Education, Properties, Wellbeing",Privately Held,United Arab Emirates,Dubai,GST
"GOJO, Makers of PURELL",900,1500,Manufacturing,"Skin Care, Hand Sanitizing, Hand Hygiene, Hand Washing, Surface Disinfection, Surface Sanitation, Surface Cleaning, Infection Prevention, Infection Control, Health, Wellbeing, Skin Health, Dispensing Solutions, Innovative Technology, Formulation, Sustainability, Environmental Sustainability",Privately Held,United States,Akron,EST
"GSPANN Technologies, Inc",320,1500,IT Services and IT Consulting,"Enterprise Content Mgmt, Information Mgmt (BI and DW), Web Strategy and Solution, QA Automation, Creative and Design Mgmt, Interactive Marketing solutions, Content Authoring and Migration, 24 X 7 Application Support, Mobile App Development, Omni Channel Strategy",Privately Held,United States,Milpitas,EST
GWC | Official,500,250,Transportation/Trucking/Railroad,"GWC Contract Logistics, GWC Hazmat, GWC Forwarding, GWC Projects, GWC Records, GWC Transport, GWC Relocations, GWC Fine Art, GWC Sports, GWC Equestrian, GWC Consulting / Real Estate, GWC Express UPS, GWC Pharma, Logistics, Supply Chain, Warehouses",Public Company,Qatar,Doha,Asia/Qatar
Gainwell Technologies,1300,6500,IT Services and IT Consulting,,Privately Held,United States,United States,EST
Gallaudet University,200,1200,Higher Education,"Deaf Education, Linguistics, Deaf Studies, Audiology, Signing Ecosystem",Educational Institution,United States,Washington,EST
Gates Corporation,3200,14000,Automation Machinery Manufacturing,"Automotive aftermarket belts and hoses, Hydraulic assemblies, Industrial hose systems, Synchronous belt drives, V-belts",Public Company,United States,Denver,EST
Generac Power Systems,3200,6200,"Appliances, Electrical, and Electronics Manufacturing","Power Generation, Generators, Engines, Pressure Washers, Industrial Solutions, Energy Storage Solutions, Back up Power, Mobile Products, Inverters, Portable Power, Power Tools",Public Company,United States,Waukesha,EST
General Dynamics Land Systems,8300,12500,Defense & Space,"Military systems, military innovations, armored vehicles, military vehicles, army vehicles, 3d printing, weapon systems, electronic architecture",Public Company,United States,Sterling Heights,EST
General Dynamics NASSCO,2100,3000,Shipbuilding,"Navy Shipbuilding, Commercial Shipbuilding, Navy Ship Repair",Public Company,United States,San Diego,EST
Genesis Rehab Services,900,22000,Hospitals and Health Care,"Physical Therapy, Occupational Therapy, Speech Therapy, Respiratory Therapy, Health and Wellness",Public Company,United States,Kennett Square,EST
Gentherm,1000,10000,Motor Vehicle Manufacturing,"Heated/Cooled/Ventilated Seats (automotive), Heated Steering Wheels, Heated/Cooled Cupholders, Thermal Storage (bin), Cables, Fans/Blowers, Thermal Comfort Products Non-Automotive Applications, Medical, Electronic Components",Public Company,United States,Northville,EST
Georgia Pacific,20000,35000,Paper and Forest Product Manufacturing,,Privately Held,United States,Atlanta,EST
Gerdau North America,4300,14000,Mining,,Privately Held,United States,Tampa,EST
Gexpro,2500,2300,"Appliances, Electrical, and Electronics Manufacturing","Electrical, supplies, Supply, Chain, Hardware, Wire, Conduit, Lighting, Lamps, Distribution, Fasteners, Lean, Energy Storage",Public Company,United States,Shelton,EST
Glanbia Performance Nutrition (GPN),3500,2200,Food and Beverage Services,"Consumer Goods, Sports Nutrition, Brand Management, R&D & Innnovation, Food, Beverage, Health, Wellness, Sales, Marketing, CPG, Dairy, Natural, Organic, Bars, Supplements, Nutrition, Sports, Manufacturing, ESG, D&I, Lifestyle, Weight Management, Energy, Performance Nutrition",Public Company,United States,Kilkenny,EST
Global Industrial Company,2300,3000,Wholesale,"Material Handling, Packaging/Supplies, Storage & Shelving, Furniture/Office, Foodservice/Appliances, Janitorial, Motors/Power Transmission, Packaging & Supplies/ Tools & Instruments, HVAC/R & Fans / Electrical, Plumbing Supplies/ Pneumatics/Hydraulics, Safety/Medical, Facilities Maintenance, Industrial Supplies, MRO, Lighting",Public Company,United States,Port Washington,EST
Goldcorp,3200,7000,Mining,Gold Mining,Public Company,United States,Greenwood Village,EST
Gordon Food Service,14000,19000,Food & Beverages,"foodservice, restaurant supply, food and beverage distribution, retail stores, fundraising",Privately Held,United States,Grand Rapids,EST
Graco,1900,3600,Machinery,"Contractor equipment, lubrication equipment, finishing equipment, protective coating equipment, process equipment, sealant and adhesive equipment",Public Company,United States,Minneapolis,EST
"Graphic Packaging International, LLC",6000,19000,Packaging and Containers Manufacturing,"folding cartons, paperboard, packaging, packaging machinery, package design, recycled paperboard, foodservice, hot cups, cold cups, beverage packaging systems, innovation, sustainability, microwave",Public Company,United States,Atlanta,EST
Graybar,7700,8900,Wholesale,Distributor of Electrical and Communication Products and Services,Privately Held,United States,St. Louis,EST
Great Lakes Cheese,3200,3000,Food and Beverage Manufacturing,,Privately Held,United States,Hiram,EST
